Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-10-22,Movie Randomizer,"Roulette, Movie, Random, horror, fantasy, crime, thriller, Science Fiction, sci fi, 80s, 90s, 70s, comedy, 60s, superhero, love, vhs, retro, classic, oscar, war, romance, 30s, 40s, 50s, musical, art house, drama, cult",https://boxd.it/PGnfi,

Position,Name,Year,URL,Description
1,The Fan,1982,https://boxd.it/3zkA,
2,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
3,Suspiria,1977,https://boxd.it/1SNW,
4,Lost in Translation,2003,https://boxd.it/2b0E,
5,Akira,1988,https://boxd.it/2b1i,
6,Things to Come,2016,https://boxd.it/d0wc,
7,Big Trouble in Little China,1986,https://boxd.it/21em,
8,Star Wars,1977,https://boxd.it/72s,
9,The Third Man,1949,https://boxd.it/294E,
10,The Big Sick,2017,https://boxd.it/eHvy,
11,Jodorowsky's Dune,2013,https://boxd.it/5MP6,
12,Get Out,2017,https://boxd.it/eOCm,
13,Lawrence of Arabia,1962,https://boxd.it/2wRE,
14,Free Fire,2016,https://boxd.it/b2Ig,
15,Sing Street,2016,https://boxd.it/cOo6,
16,Up,2009,https://boxd.it/1OEc,
17,Blade Runner,1982,https://boxd.it/2bcA,
18,Annie Hall,1977,https://boxd.it/29M2,
19,The Truman Show,1998,https://boxd.it/18U8,
20,Wonder Woman,2017,https://boxd.it/9roG,
21,Plan 9 from Outer Space,1957,https://boxd.it/1W50,
22,Whiplash,2014,https://boxd.it/7bQA,
23,Weird Science,1985,https://boxd.it/1T1O,
24,Raw,2016,https://boxd.it/dLd2,
25,Army of Darkness,1992,https://boxd.it/29G4,
26,Obvious Child,2014,https://boxd.it/7i3A,
27,Django Unchained,2012,https://boxd.it/2cCk,
28,The Lost Boys,1987,https://boxd.it/28DI,
29,Star Trek II: The Wrath of Khan,1982,https://boxd.it/2b0u,
30,Stand by Me,1986,https://boxd.it/2aOe,
31,Drive,2011,https://boxd.it/IG,
32,The Lion King,1994,https://boxd.it/201Q,
33,It Follows,2014,https://boxd.it/87wo,
34,The Goonies,1985,https://boxd.it/1YVC,
35,Ant-Man,2015,https://boxd.it/3vmW,
36,Sicario,2015,https://boxd.it/8i7u,
37,Fantastic Planet,1973,https://boxd.it/1KnQ,
38,Ghostbusters,1984,https://boxd.it/g2w,
39,Candy,1968,https://boxd.it/N2E,
40,Scarface,1932,https://boxd.it/29oa,
41,Donnie Darko,2001,https://boxd.it/2b2A,
42,El Topo,1970,https://boxd.it/1QYS,
43,Okja,2017,https://boxd.it/dvXe,
44,My Neighbor Totoro,1988,https://boxd.it/20eA,
45,#Horror,2015,https://boxd.it/9AhO,
46,Breathless,1960,https://boxd.it/2aIK,
47,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8,
48,La Dolce Vita,1960,https://boxd.it/2anC,
49,"Synecdoche, New York",2008,https://boxd.it/23zw,
50,The King of Comedy,1982,https://boxd.it/2aJS,
51,A Ghost Story,2017,https://boxd.it/fb0K,
52,Masters of the Universe,1987,https://boxd.it/1TkQ,
53,The Iron Giant,1999,https://boxd.it/1Wow,
54,Moonlight,2016,https://boxd.it/d6bE,
55,Pulp Fiction,1994,https://boxd.it/29Pq,
56,The Fifth Element,1997,https://boxd.it/71k,
57,Top Gun,1986,https://boxd.it/29JC,
58,Watchmen,2009,https://boxd.it/1QE4,
59,Rushmore,1998,https://boxd.it/1TAO,
60,Child's Play,1988,https://boxd.it/1VTo,
61,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
62,Heat,1995,https://boxd.it/2bg8,
63,Empire of the Sun,1987,https://boxd.it/1X4i,
64,Boyz n the Hood,1991,https://boxd.it/29Ug,
65,Flash Gordon,1980,https://boxd.it/257a,
66,Spring Breakers,2012,https://boxd.it/421s,
67,The Boxer's Omen,1983,https://boxd.it/Gx6,
68,Her,2013,https://boxd.it/4O24,
69,Django,1966,https://boxd.it/1Vr0,
70,Love,2015,https://boxd.it/9brE,
71,Possession,1981,https://boxd.it/1BPm,
72,John Wick: Chapter 2,2017,https://boxd.it/ayGu,
73,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,
74,The Raid,2011,https://boxd.it/3hBy,
75,The Beyond,1981,https://boxd.it/1FtY,
76,Oldboy,2003,https://boxd.it/29R2,
77,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,
78,Prometheus,2012,https://boxd.it/2s9e,
79,Groundhog Day,1993,https://boxd.it/2b3e,
80,Batman Returns,1992,https://boxd.it/2awa,
81,Spirited Away,2001,https://boxd.it/2b4m,
