Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-22,Peliculas Verano,,https://boxd.it/Dgi7e,

Position,Name,Year,URL,Description
1,The Sisterhood of the Traveling Pants,2005,https://boxd.it/1XPo,
2,Palm Springs,2020,https://boxd.it/lCXQ,
3,Adventureland,2009,https://boxd.it/1JTQ,
4,The Spectacular Now,2013,https://boxd.it/4VSG,
5,She's the Man,2006,https://boxd.it/1Y7W,
6,The Kings of Summer,2013,https://boxd.it/4V3e,
7,Call Me by Your Name,2017,https://boxd.it/dYmm,
8,Mamma Mia!,2008,https://boxd.it/1Tnq,
9,Aquamarine,2006,https://boxd.it/1OAE,
10,Luca,2021,https://boxd.it/ipjC,
11,My Old Ass,2024,https://boxd.it/zLP0,
12,Theater Camp,2023,https://boxd.it/Bfbm,
13,Moonrise Kingdom,2012,https://boxd.it/2Wng,
14,The Way Way Back,2013,https://boxd.it/4Gwq,
15,The To Do List,2013,https://boxd.it/4dAo,
