Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-20,Random,,https://boxd.it/D8Yzy,

Position,Name,Year,URL,Description
1,Flirting with Disaster,1996,https://boxd.it/27ve,
2,Spanking the Monkey,1994,https://boxd.it/1IoM,
3,A Bigger Splash,2015,https://boxd.it/azgs,
4,The Dreamers,2003,https://boxd.it/28X4,
5,Wild at Heart,1990,https://boxd.it/2aii,
6,Chungking Express,1994,https://boxd.it/1UDa,
7,Christmas in August,1998,https://boxd.it/1sQK,
8,Wind River,2017,https://boxd.it/dR3i,
9,Do Revenge,2022,https://boxd.it/sFiA,
10,Sleepers,1996,https://boxd.it/29xw,
11,Surrogates,2009,https://boxd.it/1EiU,
12,Party Monster,2003,https://boxd.it/28NI,
13,Can't Buy Me Love,1987,https://boxd.it/1R4c,
14,Dream Lover,1994,https://boxd.it/1Hpk,
15,Never Rarely Sometimes Always,2020,https://boxd.it/lWJk,
16,The Sweet East,2023,https://boxd.it/CcHw,
17,Emergency,2022,https://boxd.it/uRui,
18,Entergalactic,2022,https://boxd.it/CPN4,
19,Last Breath,2025,https://boxd.it/AJqO,
20,Us and Them,2018,https://boxd.it/ip3a,
21,D.E.B.S.,2004,https://boxd.it/2aaS,
22,Take Shelter,2011,https://boxd.it/DQ,
23,This Is Where I Leave You,2014,https://boxd.it/73kQ,
24,Avenues,2017,https://boxd.it/lBSK,
25,Youth,2015,https://boxd.it/9Y7S,
26,My Blueberry Nights,2007,https://boxd.it/27H0,
27,Dinner in America,2020,https://boxd.it/oinu,
28,The Blackening,2022,https://boxd.it/C6VM,
29,A Man Called Ove,2015,https://boxd.it/bHuY,
30,Young & Beautiful,2013,https://boxd.it/5B0Q,
31,American Girl,2021,https://boxd.it/xadk,
32,Blue Is the Warmest Color,2013,https://boxd.it/4O40,
33,Zero Dark Thirty,2012,https://boxd.it/3n1w,
34,Barefoot,2014,https://boxd.it/77be,
35,Whatever Works,2009,https://boxd.it/1FoE,
36,Strange Days,1995,https://boxd.it/2aGO,
